Monday,Friday,Monday_growth,Friday_growth,Growth difference
1990-01-08,1990-01-05,0.14,0.32,-0.18
1990-01-15,1990-01-12,0.36,1.7,-1.34
1990-01-22,1990-01-19,1.33,1.26,0.07
1990-01-29,1990-01-26,0.55,0.14,0.41
1990-02-05,1990-02-02,0.38,-0.36,0.74
1990-02-12,1990-02-09,0.62,0.51,0.11
1990-02-26,1990-02-23,-1.18,-0.68,-0.5
1990-03-05,1990-03-02,-0.24,-0.24,0.0
1990-03-12,1990-03-09,0.18,0.28,-0.1
1990-03-19,1990-03-16,-0.36,-0.42,0.06
1990-03-26,1990-03-23,-0.23,-0.54,0.31
1990-04-02,1990-03-30,-0.91,0.49,-1.4
1990-04-09,1990-04-06,-0.19,-0.15,-0.04
1990-04-23,1990-04-20,0.38,1.01,-0.63
1990-04-30,1990-04-27,-0.69,0.49,-1.18
1990-05-07,1990-05-04,-0.44,-0.82,0.38
1990-05-14,1990-05-11,0.34,-2.0,2.34
1990-05-21,1990-05-18,-0.52,-0.8,0.28
1990-06-04,1990-06-01,-0.54,-0.76,0.22
1990-06-11,1990-06-08,-1.25,0.26,-1.51
1990-06-18,1990-06-15,0.66,0.56,0.1
1990-06-25,1990-06-22,0.05,1.44,-1.39
1990-07-02,1990-06-29,-0.42,-0.1,-0.32
1990-07-09,1990-07-06,0.28,-0.63,0.91
1990-07-16,1990-07-13,0.36,-0.27,0.63
1990-07-23,1990-07-20,0.59,2.32,-1.73
1990-07-30,1990-07-27,-0.67,0.2,-0.87
1990-08-06,1990-08-03,1.09,1.7,-0.61
1990-08-13,1990-08-10,-1.07,0.49,-1.56
1990-08-20,1990-08-17,1.5,0.01,1.49
1990-08-27,1990-08-24,-1.22,-2.65,1.43
1990-09-10,1990-09-07,0.79,-0.46,1.25
1990-09-17,1990-09-14,0.02,0.02,0.0
1990-09-24,1990-09-21,0.39,0.86,-0.47
1990-10-01,1990-09-28,-2.15,-3.05,0.9
1990-10-08,1990-10-05,1.29,-0.95,2.24
1990-10-15,1990-10-12,-0.21,-0.72,0.51
1990-10-22,1990-10-19,-0.13,-1.29,1.16
1990-10-29,1990-10-26,0.71,1.11,-0.4
1990-11-05,1990-11-02,-0.03,-1.15,1.12
1990-11-12,1990-11-09,-0.51,-1.91,1.4
1990-11-19,1990-11-16,0.3,-0.43,0.73
1990-11-26,1990-11-23,-1.02,0.69,-1.71
1990-12-03,1990-11-30,-0.25,-1.34,1.09
1990-12-10,1990-12-07,0.09,0.1,-0.01
1990-12-17,1990-12-14,-0.75,0.49,-1.24
1990-12-24,1990-12-21,-0.1,0.25,-0.35
